technique,question_id,query,latency_ms,rank,store_score,cosine_sim,chunk_len,preview,source_file,expected_source_file
Semantic,q3,"In a USPL Twenty20 cricket match, how long is each session (innings), and how is that time calculated?",15.4,3,0.5399,0.5525,6756,        US Premier League (USPL)                        Code  of  Conduct  For  League Rules         For  Twenty20    Last  Updated:  01/30/2022    USPL  Rules ,cricket_uspl_t20_rules.txt,cricket_uspl_t20_rules.txt
Semantic,q4,"In the Fort Collins Adult Volleyball Manual, what is the time limit for a match, and how many games make up a match?",13.66,1,0.6525,0.6399,1597,.     9                          Adult Volleyball Manual          Parks and Recreation  2    THANK YOU FOR YOUR PARTICIPATION IN  THE ADULT VOLLEYBALL PROGRAM! ,volleyball_fort_collins_manual.txt,volleyball_fort_collins_manual.txt
Semantic,q4,"In the Fort Collins Adult Volleyball Manual, what is the time limit for a match, and how many games make up a match?",13.66,2,0.6313,0.5371,43,.     8      Outdoor Volleyball Rules.  .  ,volleyball_fort_collins_manual.txt,volleyball_fort_collins_manual.txt
Semantic,q4,"In the Fort Collins Adult Volleyball Manual, what is the time limit for a match, and how many games make up a match?",13.66,3,0.6312,0.5914,7833,". 416-2489 x 5641    Purpose  The purpose of the league is to combine the interest of the volleyball teams of the community  into friendly rivalry, wholesome re",volleyball_fort_collins_manual.txt,volleyball_fort_collins_manual.txt
Semantic,q5,"According to the Douglas County Parks & Recreation rules, what are the minimum and maximum roster sizes for adult volleyball?",12.64,1,0.7187,0.7012,7833,". 416-2489 x 5641    Purpose  The purpose of the league is to combine the interest of the volleyball teams of the community  into friendly rivalry, wholesome re",volleyball_fort_collins_manual.txt,general_douglas_county_all_sports_rules.txt
Semantic,q5,"According to the Douglas County Parks & Recreation rules, what are the minimum and maximum roster sizes for adult volleyball?",12.64,2,0.6734,0.6917,1597,.     9                          Adult Volleyball Manual          Parks and Recreation  2    THANK YOU FOR YOUR PARTICIPATION IN  THE ADULT VOLLEYBALL PROGRAM! ,volleyball_fort_collins_manual.txt,general_douglas_county_all_sports_rules.txt
Semantic,q5,"According to the Douglas County Parks & Recreation rules, what are the minimum and maximum roster sizes for adult volleyball?",12.64,3,0.6317,0.6226,760,                                                                                                          DOUGLAS COUNTY PARKS & RECREATION DEPARTMENT  ADULT SP,general_douglas_county_all_sports_rules.txt,general_douglas_county_all_sports_rules.txt
SentenceWindow,q1,"In AYSO soccer, how many players per side are allowed on the field for the 8U age division, and are goalkeepers used?",53.96,1,0.7494,0.7429,377,of team  members  18U  11‐a‐side  18  12  16U  11‐a‐side  18  12  14U  11‐a‐side  15  12  12U  9‐a‐side  12  10  10U  7‐a‐side  10  8  8U  4‐a‐side  (No goalkee,soccer_ayso_national_rules.txt,soccer_ayso_national_rules.txt
SentenceWindow,q1,"In AYSO soccer, how many players per side are allowed on the field for the 8U age division, and are goalkeepers used?",53.96,2,0.7036,0.6495,55,Age  Division  Players per team on field  Maximum  no. ,soccer_ayso_national_rules.txt,soccer_ayso_national_rules.txt
SentenceWindow,q1,"In AYSO soccer, how many players per side are allowed on the field for the 8U age division, and are goalkeepers used?",53.96,3,0.6607,0.4747,168,"F. In  Regions  where  there  are  not  enough  registrants  to  make  any  or  all  standard  age  divisions,  divisions may be combined so that teams may be f",soccer_ayso_national_rules.txt,soccer_ayso_national_rules.txt
SentenceWindow,q2,"In the City of Las Vegas youth basketball rules, at how many team fouls does the free-throw bonus (1-and-1) begin, and when does the double bonus begin?",51.11,1,0.8732,0.7443,145,Penalty free-throw bonus begins on the seventh team foul (1 and 1) and the double bonus  begins on the tenth team foul (2-shots) of each half.   ,basketball_las_vegas_youth_rules.txt,basketball_las_vegas_youth_rules.txt
SentenceWindow,q2,"In the City of Las Vegas youth basketball rules, at how many team fouls does the free-throw bonus (1-and-1) begin, and when does the double bonus begin?",51.11,2,0.8241,0.6814,138,Double Bonus:  The “bonus” free-throw situation awarded for non-shooting fouls after the  opposing team exceeds 10 team fouls in a half.  ,basketball_las_vegas_youth_rules.txt,basketball_las_vegas_youth_rules.txt
SentenceWindow,q2,"In the City of Las Vegas youth basketball rules, at how many team fouls does the free-throw bonus (1-and-1) begin, and when does the double bonus begin?",51.11,3,0.7742,0.6264,190,Also call the “free throw lane” or “lane”   One-and-One Bonus:  The “bonus” free-throw situation awarded for non-shooting fouls after  the opposing team exceeds,basketball_las_vegas_youth_rules.txt,basketball_las_vegas_youth_rules.txt
SentenceWindow,q3,"In a USPL Twenty20 cricket match, how long is each session (innings), and how is that time calculated?",70.44,1,0.7186,0.6452,224,Also the calculation of the number of overs  for each side will be based on the time of 4.25 minutes per over and the game shall be rescheduled in  such a way t,cricket_uspl_t20_rules.txt,cricket_uspl_t20_rules.txt
SentenceWindow,q3,"In a USPL Twenty20 cricket match, how long is each session (innings), and how is that time calculated?",70.44,2,0.6985,0.5258,99,6) The number of overs for all the calculation will be based at the rate of 4.25 minutes per over. ,cricket_uspl_t20_rules.txt,cricket_uspl_t20_rules.txt
SentenceWindow,q3,"In a USPL Twenty20 cricket match, how long is each session (innings), and how is that time calculated?",70.44,3,0.6812,0.608,216,"4 Hours of Play    1) Unless otherwise modified by the league or by the umpires on the field, the duration/hours of play  shall be as follows;      Event Timeli",cricket_uspl_t20_rules.txt,cricket_uspl_t20_rules.txt
SentenceWindow,q4,"In the Fort Collins Adult Volleyball Manual, what is the time limit for a match, and how many games make up a match?",50.81,1,0.8558,0.6642,68,Time Limit: There will be a one (1) hour time limit for the match.  ,volleyball_fort_collins_manual.txt,volleyball_fort_collins_manual.txt
SentenceWindow,q4,"In the Fort Collins Adult Volleyball Manual, what is the time limit for a match, and how many games make up a match?",50.81,2,0.8306,0.6614,57,Time Limit: Matches will be scheduled every 40 minutes.  ,volleyball_fort_collins_manual.txt,volleyball_fort_collins_manual.txt
SentenceWindow,q4,"In the Fort Collins Adult Volleyball Manual, what is the time limit for a match, and how many games make up a match?",50.81,3,0.8037,0.6248,178,"Scoring and Results of the Match: Each match will consist of three (3) games to twenty- five (25) points, winning by two (2) points with no cap, or the one (1) ",volleyball_fort_collins_manual.txt,volleyball_fort_collins_manual.txt
SentenceWindow,q5,"According to the Douglas County Parks & Recreation rules, what are the minimum and maximum roster sizes for adult volleyball?",52.32,1,0.7194,0.6967,217,"Roster amounts shall be limited for the following per sport:   Flag Football – Minimum 6, Maximum 15   Soccer – Minimum 9, Maximum 20   Softball – Minimum 10",general_douglas_county_all_sports_rules.txt,general_douglas_county_all_sports_rules.txt
SentenceWindow,q5,"According to the Douglas County Parks & Recreation rules, what are the minimum and maximum roster sizes for adult volleyball?",52.32,2,0.6846,0.5597,92,Teams must start with a minimum of 4  legal players for 6's and 3 legal players for 4's.    ,volleyball_fort_collins_manual.txt,general_douglas_county_all_sports_rules.txt
SentenceWindow,q5,"According to the Douglas County Parks & Recreation rules, what are the minimum and maximum roster sizes for adult volleyball?",52.32,3,0.6565,0.6029,139,"Number of Players: For Coed leagues, a maximum of 3 males for 6's and 2 for 4's may  participate on the court, if a full team is present.  ",volleyball_fort_collins_manual.txt,general_douglas_county_all_sports_rules.txt
